station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
Bercut Dr,2022-12-24T00:00,,,,28.7,86.0,2.0
Sunriver Three Rivers School,2022-12-24T00:00,,,,5.4,23.0,1.0
Elk Grove,2022-12-24T00:00,,,,34.5,98.0,2.0
Arden Arcade - Del Paso Manor,2022-12-24T00:00,,,,28.0,84.0,2.0
Lincoln,2022-12-24T00:00,,,,25.9,80.0,2.0
Bend Pine Ridge Elementary School,2022-12-24T00:00,,,,2.5,10.0,1.0
Bend - Pump Station,2022-12-24T00:00,,,,4.9,20.0,1.0
Bend NE 8th & Emerson,2022-12-24T00:00,,,,3.8,16.0,1.0
Stockton - University Park,2022-12-24T00:00,,,,35.4,100.0,2.0
Bend Ponderosa Elementary School,2022-12-24T00:00,,,,11.1,46.0,1.0
Chester BAM,2022-12-24T00:00,,,,8.5,35.0,1.0
Sloughhouse,2022-12-24T00:00,,,,23.0,74.0,2.0
Redmond High School,2022-12-24T00:00,,,,9.2,38.0,1.0
Folsom,2022-12-24T00:00,,,,25.1,78.0,2.0
Madras - Westside School,2022-12-24T00:00,,,,7.4,31.0,1.0
Auburn,2022-12-24T00:00,,,,17.4,62.0,2.0
Grass Valley,2022-12-24T00:00,,,,6.9,29.0,1.0
Colfax,2022-12-24T00:00,,,,9.2,38.0,1.0
Quincy,2022-12-24T00:00,,,,8.0,33.0,1.0
Prineville - Davidson Park,2022-12-24T00:00,,,,18.4,64.0,2.0
MMCA82034,2022-12-24T00:00,,,,1.6,7.0,1.0
Portola,2022-12-24T00:00,,,,14.2,55.0,2.0
Merced - S. Coffee Ave,2022-12-24T00:00,,,,34.0,97.0,2.0
Tranquillity,2022-12-24T00:00,,,,28.1,85.0,2.0
Lakeview - Center & M,2022-12-24T00:00,,,,3.0,13.0,1.0
Truckee BAM,2022-12-24T00:00,,,,2.7,11.0,1.0
Tahoe City,2022-12-24T00:00,,,,5.2,22.0,1.0
MMCA82019,2022-12-24T00:00,,,,5.6,23.0,1.0
Huron,2022-12-24T00:00,,,,7.9,33.0,1.0
Santa Ynez,2022-12-24T00:00,,,,4.4,18.0,1.0
Fresno-Foundry Park,2022-12-24T00:00,,,,30.6,90.0,2.0
CC_Armory,2022-12-24T00:00,,,,6.8,28.0,1.0
Fresno-Pacific,2022-12-24T00:00,,,,38.7,109.0,3.0
Ranchos,2022-12-24T00:00,,,,6.8,28.0,1.0
Spanish Springs,2022-12-24T00:00,,,,10.3,43.0,1.0
Visalia - W Ashland Avenue,2022-12-24T00:00,,,,35.1,99.0,2.0
Ojai - Ojai Ave.,2022-12-24T00:00,,,,0.0,0.0,1.0
Bakersfield - California Ave,2022-12-24T00:00,,,,32.4,94.0,2.0
Porterville-NFS,2022-12-24T00:00,,,,31.7,92.0,2.0
Burns - Washington St.,2022-12-24T00:00,,,,4.7,20.0,1.0
Pinehurst,2022-12-24T00:00,,,,0.0,0.0,1.0
PM2.5 Mammoth Lakes EBAM,2022-12-24T00:00,,,,4.0,17.0,1.0
John Day Dayton St,2022-12-24T00:00,,,,7.3,30.0,1.0
Thousand Oaks - Moorpark Road,2022-12-24T00:00,,,,6.9,29.0,1.0
Lebec,2022-12-24T00:00,,,,1.2,5.0,1.0
Sequoia and Kings Canyon - Ash Mountain,2022-12-24T00:00,,,,2.9,12.0,1.0
Springville,2022-12-24T00:00,,,,16.9,61.0,2.0
Piru - Pacific,2022-12-24T00:00,,,,2.8,12.0,1.0
Reseda,2022-12-24T00:00,,,,23.5,75.0,2.0
Santa Clarita,2022-12-24T00:00,,,,1.3,5.0,1.0
North Holywood,2022-12-24T00:00,,,,22.2,72.0,2.0
Compton,2022-12-24T00:00,,,,33.2,95.0,2.0
La Grande Hall & N Sts,2022-12-24T00:00,,,,4.2,18.0,1.0
Lone Pine Paiute/Shoshone Tribe-CA,2022-12-24T00:00,,,,4.0,17.0,1.0
Baker City - Forest Service,2022-12-24T00:00,,,,3.4,14.0,1.0
Cove - City Hall,2022-12-24T00:00,,,,3.2,13.0,1.0
Camp Pendleton,2022-12-24T00:00,,,,10.7,45.0,1.0
Crestline - Lake Gregory,2022-12-24T00:00,,,,0.6,3.0,1.0
San Diego - Sherman Elementary School,2022-12-24T00:00,,,,19.0,66.0,2.0
Temecula (Lake Skinner),2022-12-24T00:00,,,,10.2,43.0,1.0
Ontario May Roberts Elementary School,2022-12-24T00:00,,,,3.1,13.0,1.0
El Cajon - Lexington Elementary School,2022-12-24T00:00,,,,15.1,57.0,2.0
Otay Mesa - Donovan,2022-12-24T00:00,,,,24.1,76.0,2.0
Big Bear,2022-12-24T00:00,,,,3.7,15.0,1.0
Banning - South Hathaway Street,2022-12-24T00:00,,,,9.3,39.0,1.0
Alpine,2022-12-24T00:00,,,,8.2,34.0,1.0
St. Lukes Meridian,2022-12-24T00:00,,,,5.8,24.0,1.0
McCall,2022-12-24T00:00,,,,11.7,49.0,1.0
Garden Valley,2022-12-24T00:00,,,,5.5,23.0,1.0
Idaho City,2022-12-24T00:00,,,,5.9,25.0,1.0
RT,2022-12-24T00:00,,,,6.8,28.0,1.0
Twin Falls PM25,2022-12-24T00:00,,,,6.8,28.0,1.0
Ketchum,2022-12-24T00:00,,,,6.4,27.0,1.0
Salmon PM2.5,2022-12-24T00:00,,,,13.9,55.0,2.0
Hurricane,2022-12-24T00:00,,,,2.2,9.0,1.0
Enoch,2022-12-24T00:00,,,,5.9,25.0,1.0
Dillon,2022-12-24T00:00,,,,11.4,48.0,1.0
Erda,2022-12-24T00:00,,,,4.9,20.0,1.0
Idaho Falls PM2.5,2022-12-24T00:00,,,,1.4,6.0,1.0
Eastwood,2022-12-24T00:00,,,,14.2,55.0,2.0
Utah Tech. Center,2022-12-24T00:00,,,,21.6,71.0,2.0
Rose Park,2022-12-24T00:00,,,,21.8,71.0,2.0
NR,2022-12-24T00:00,,,,31.8,92.0,2.0
Copper View,2022-12-24T00:00,,,,30.2,89.0,2.0
BV,2022-12-24T00:00,,,,21.7,71.0,2.0
Preston PM25 BAM,2022-12-24T00:00,,,,6.9,29.0,1.0
Smithfield,2022-12-24T00:00,,,,13.4,54.0,2.0
Cave Camp - Timpanogos Cave,2022-12-24T00:00,,,,19.1,66.0,2.0
Spanish Fork,2022-12-24T00:00,,,,23.3,75.0,2.0
Coachline,2022-12-24T00:00,,,,0.0,0.0,1.0
West Yellowstone Park Ent #2,2022-12-24T00:00,,,,1.6,7.0,1.0
Children's Park Site,2022-12-24T00:00,,,,3.2,13.0,1.0
Rose Elementary,2022-12-24T00:00,,,,0.3,1.0,1.0
Yellowstone- Old Faithful Snow Lodge,2022-12-24T00:00,,,,2.3,10.0,1.0
Roosevelt,2022-12-24T00:00,,,,4.8,20.0,1.0
Vernal #4,2022-12-24T00:00,,,,4.4,18.0,1.0
Rangely- CO,2022-12-24T00:00,,,,3.9,16.0,1.0
Grand Junction - Powell Building,2022-12-24T00:00,,,,3.4,14.0,1.0
Yellow Brick Building,2022-12-24T00:00,,,,1.4,6.0,1.0
Las Cruces ED,2022-12-24T00:00,,,,6.0,25.0,1.0
Santa Teresa,2022-12-24T00:00,,,,9.1,38.0,1.0
Ascarate Park Southeast C37,2022-12-24T00:00,,,,13.1,53.0,2.0
Santa Fe Airport,2022-12-24T00:00,,,,1.9,8.0,1.0
Taos Fire Station,2022-12-24T00:00,,,,1.4,6.0,1.0
Boulder - CU - 2102 Athens St.,2022-12-24T00:00,,,,8.8,37.0,1.0
Longmont,2022-12-24T00:00,,,,14.1,55.0,2.0
Chatfield Park - 11500 N. Roxborough Park Rd.,2022-12-24T00:00,,,,15.8,59.0,2.0
I25 Denver,2022-12-24T00:00,,,,5.7,24.0,1.0
Globeville,2022-12-24T00:00,,,,10.7,45.0,1.0
Denver - CAMP - 2105 Broadway,2022-12-24T00:00,,,,13.7,54.0,2.0
Adams-Birch,2022-12-24T00:00,,,,10.7,45.0,1.0
Colorado College,2022-12-24T00:00,,,,2.4,10.0,1.0
Greeley Hospital,2022-12-24T00:00,,,,4.7,20.0,1.0
Pierre,2022-12-24T00:00,,,,0.0,0.0,1.0
San Antonio Old Hwy90 C677,2022-12-24T00:00,,,,3.9,16.0,1.0
Grand Island DOT,2022-12-24T00:00,,,,2.2,9.0,1.0
Waco C1037,2022-12-24T00:00,,,,4.7,20.0,1.0
Vermillion,2022-12-24T00:00,,,,5.6,23.0,1.0
Homestead NHP,2022-12-24T00:00,,,,0.0,0.0,1.0
LLCHD BAM,2022-12-24T00:00,,,,1.0,4.0,1.0
2912 Coffey,2022-12-24T00:00,,,,5.2,22.0,1.0
Marshall,2022-12-24T00:00,,,,4.0,17.0,1.0
Clinton C403,2022-12-24T00:00,,,,2.6,11.0,1.0
Viking Lake State Park,2022-12-24T00:00,,,,2.6,11.0,1.0
Emmetsburg- ILCC,2022-12-24T00:00,,,,4.4,18.0,1.0
RG_South,2022-12-24T00:00,,,,1.1,5.0,1.0
Blue Ridge I-70,2022-12-24T00:00,,,,2.6,11.0,1.0
Liberty,2022-12-24T00:00,,,,1.4,6.0,1.0
SPRNGDLE,2022-12-24T00:00,,,,3.4,14.0,1.0
El Do Springs,2022-12-24T00:00,,,,0.2,1.0,1.0
Shreveport Airport,2022-12-24T00:00,,,,4.4,18.0,1.0
St. Michael,2022-12-24T00:00,,,,4.1,17.0,1.0
CARPENTER,2022-12-24T00:00,,,,6.0,25.0,1.0
Shakopee,2022-12-24T00:00,,,,6.6,28.0,1.0
Lakeville - Near Road,2022-12-24T00:00,,,,4.7,20.0,1.0
Westlake,2022-12-24T00:00,,,,3.2,13.0,1.0
Minneapolis-Phillips,2022-12-24T00:00,,,,4.1,17.0,1.0
Minneapolis-Near Road,2022-12-24T00:00,,,,4.3,18.0,1.0
Apple Valley,2022-12-24T00:00,,,,4.4,18.0,1.0
St. Paul-Harding H.S.,2022-12-24T00:00,,,,4.6,19.0,1.0
Rochester,2022-12-24T00:00,,,,4.9,20.0,1.0
Rochester,2022-12-24T00:00,,,,5.1,21.0,1.0
Waterloo- Water Tower,2022-12-24T00:00,,,,8.1,34.0,1.0
PARR,2022-12-24T00:00,,,,2.8,12.0,1.0
Lafayette,2022-12-24T00:00,,,,3.5,15.0,1.0
Lake Sugema,2022-12-24T00:00,,,,11.1,46.0,1.0
PUBLIC HEALTH,2022-12-24T00:00,,,,9.6,40.0,1.0
Iowa City- Hoover School,2022-12-24T00:00,,,,9.0,38.0,1.0
LACROSSE DOT,2022-12-24T00:00,,,,5.2,22.0,1.0
Capitol,2022-12-24T00:00,,,,6.7,28.0,1.0
Muscatine- High School East Campus,2022-12-24T00:00,,,,5.3,22.0,1.0
French Settlement,2022-12-24T00:00,,,,3.5,15.0,1.0
Thibodaux,2022-12-24T00:00,,,,5.3,22.0,1.0
CLEVELAND,2022-12-24T00:00,,,,3.7,15.0,1.0
Potosi,2022-12-24T00:00,,,,7.1,30.0,1.0
PERKINSTOWN,2022-12-24T00:00,,,,4.7,20.0,1.0
Davenport- 10th & Vine,2022-12-24T00:00,,,,9.2,38.0,1.0
ROCK_IS,2022-12-24T00:00,,,,9.0,38.0,1.0
Ladue,2022-12-24T00:00,,,,3.7,15.0,1.0
JERSEYVL,2022-12-24T00:00,,,,5.1,21.0,1.0
Forest Park,2022-12-24T00:00,,,,6.3,26.0,1.0
South Broadway,2022-12-24T00:00,,,,4.5,19.0,1.0
Hinds CC,2022-12-24T00:00,,,,3.1,13.0,1.0
Clinton- Chancy Park,2022-12-24T00:00,,,,8.4,35.0,1.0
Madisonville,2022-12-24T00:00,,,,1.7,7.0,1.0
MARION,2022-12-24T00:00,,,,5.5,23.0,1.0
East St. Louis,2022-12-24T00:00,,,,5.8,24.0,1.0
GC_MAD,2022-12-24T00:00,,,,9.5,40.0,1.0
City Park,2022-12-24T00:00,,,,1.4,6.0,1.0
HERNANDO,2022-12-24T00:00,,,,4.2,18.0,1.0
HOUSTON,2022-12-24T00:00,,,,6.4,27.0,1.0
Springfield Ag,2022-12-24T00:00,,,,6.5,27.0,1.0
WAVELAND,2022-12-24T00:00,,,,3.0,13.0,1.0
DYERSBURG,2022-12-24T00:00,,,,0.0,0.0,1.0
MADISON EAST,2022-12-24T00:00,,,,5.1,21.0,1.0
Hattiesburg,2022-12-24T00:00,,,,4.3,18.0,1.0
Rockford,2022-12-24T00:00,,,,6.4,27.0,1.0
GPORT YC,2022-12-24T00:00,,,,3.6,15.0,1.0
NORMAL,2022-12-24T00:00,,,,10.5,44.0,1.0
DECATUR,2022-12-24T00:00,,,,8.0,33.0,1.0
DECATUR,2022-12-24T00:00,,,,6.4,27.0,1.0
Jackson,2022-12-24T00:00,,,,2.1,9.0,1.0
PASCAGOULA,2022-12-24T00:00,,,,3.2,13.0,1.0
APPLETON AAL,2022-12-24T00:00,,,,5.5,23.0,1.0
BONDVILLE,2022-12-24T00:00,,,,7.4,31.0,1.0
Ward,2022-12-24T00:00,,,,0.0,0.0,1.0
CARY,2022-12-24T00:00,,,,6.4,27.0,1.0
BRAIDWD,2022-12-24T00:00,,,,7.8,33.0,1.0
Naperville,2022-12-24T00:00,,,,9.3,39.0,1.0
Joliet,2022-12-24T00:00,,,,9.8,41.0,1.0
CHICK.,2022-12-24T00:00,,,,3.7,15.0,1.0
GREEN BAY E HIGH,2022-12-24T00:00,,,,5.2,22.0,1.0
MILWAUKEE 16TH ST,2022-12-24T00:00,,,,6.2,26.0,1.0
SCHILPRK,2022-12-24T00:00,,,,7.6,32.0,1.0
DESPLNS,2022-12-24T00:00,,,,7.6,32.0,1.0
CHIWAUKEE,2022-12-24T00:00,,,,6.1,25.0,1.0
HARRINGTON BCH,2022-12-24T00:00,,,,4.9,20.0,1.0
NORTHBRK,2022-12-24T00:00,,,,7.1,30.0,1.0
Cicero2,2022-12-24T00:00,,,,5.3,22.0,1.0
ALSIP,2022-12-24T00:00,,,,11.8,49.0,1.0
CHI_SP,2022-12-24T00:00,,,,6.1,25.0,1.0
CHI_COM,2022-12-24T00:00,,,,7.2,30.0,1.0
Kingery Near-road #1,2022-12-24T00:00,,,,9.0,38.0,1.0
Hammond-167th St,2022-12-24T00:00,,,,8.0,33.0,1.0
East Chicago - Marina,2022-12-24T00:00,,,,9.1,38.0,1.0
Loretto,2022-12-24T00:00,,,,5.2,22.0,1.0
Clarksville,2022-12-24T00:00,,,,3.8,16.0,1.0
OWENPRI,2022-12-24T00:00,,,,6.9,29.0,1.0
Columbia,2022-12-24T00:00,,,,4.1,17.0,1.0
MCADORY,2022-12-24T00:00,,,,5.5,23.0,1.0
CORNER,2022-12-24T00:00,,,,6.3,26.0,1.0
Huntsville Old Airport,2022-12-24T00:00,,,,7.3,30.0,1.0
LEEDS,2022-12-24T00:00,,,,5.7,24.0,1.0
MONTG,2022-12-24T00:00,,,,3.0,13.0,1.0
Indpls-W.18th St,2022-12-24T00:00,,,,8.6,36.0,1.0
South Bend-Shields Dr,2022-12-24T00:00,,,,11.1,46.0,1.0
HOLLAND,2022-12-24T00:00,,,,4.2,18.0,1.0
Indpls - I-70 E,2022-12-24T00:00,,,,8.0,33.0,1.0
GADSDEN,2022-12-24T00:00,,,,3.9,16.0,1.0
Elkhart-Prairie St.,2022-12-24T00:00,,,,5.1,21.0,1.0
Fishers,2022-12-24T00:00,,,,6.7,28.0,1.0
ETOWN2,2022-12-24T00:00,,,,6.6,28.0,1.0
Jeffersonville - Bates-Bowyer Av,2022-12-24T00:00,,,,6.4,27.0,1.0
St. Andrews Park,2022-12-24T00:00,,,,0.0,0.0,1.0
Anderson-Eastside Elem. Sch,2022-12-24T00:00,,,,9.6,40.0,1.0
Larwill,2022-12-24T00:00,,,,10.4,43.0,1.0
Bonifay,2022-12-24T00:00,,,,6.4,27.0,1.0
KALAMAZOO,2022-12-24T00:00,,,,5.6,23.0,1.0
Cookeville,2022-12-24T00:00,,,,1.9,8.0,1.0
Rome,2022-12-24T00:00,,,,5.0,21.0,1.0
Riverside,2022-12-24T00:00,,,,7.2,30.0,1.0
PC South Girard School,2022-12-24T00:00,,,,1.9,8.0,1.0
HOUGHTON LAKE,2022-12-24T00:00,,,,7.4,31.0,1.0
Preble NCore,2022-12-24T00:00,,,,26.2,81.0,2.0
Colerain,2022-12-24T00:00,,,,6.8,28.0,1.0
SOMERST,2022-12-24T00:00,,,,6.0,25.0,1.0
ATHENS,2022-12-24T00:00,,,,2.2,9.0,1.0
LANSING,2022-12-24T00:00,,,,4.6,19.0,1.0
Lower Price Hill,2022-12-24T00:00,,,,6.1,25.0,1.0
Harriman,2022-12-24T00:00,,,,5.4,23.0,1.0
Cincinnati Near Road,2022-12-24T00:00,,,,5.3,22.0,1.0
NEWTWN,2022-12-24T00:00,,,,6.1,25.0,1.0
NKU,2022-12-24T00:00,,,,6.6,28.0,1.0
NR-Georgia Tech,2022-12-24T00:00,,,,4.1,17.0,1.0
Sycamore,2022-12-24T00:00,,,,6.4,27.0,1.0
United Ave,2022-12-24T00:00,,,,6.1,25.0,1.0
Tallahassee Community College,2022-12-24T00:00,,,,5.0,21.0,1.0
LOUDONMS,2022-12-24T00:00,,,,3.7,15.0,1.0
Lebanon,2022-12-24T00:00,,,,4.9,20.0,1.0
Lebanon,2022-12-24T00:00,,,,5.0,21.0,1.0
Sinclair,2022-12-24T00:00,,,,7.0,29.0,1.0
St. Marks Wildlife Refuge,2022-12-24T00:00,,,,4.8,20.0,1.0
McDonough,2022-12-24T00:00,,,,2.6,11.0,1.0
Batavia,2022-12-24T00:00,,,,3.9,16.0,1.0
Lima,2022-12-24T00:00,,,,6.5,27.0,1.0
Rule,2022-12-24T00:00,,,,8.3,35.0,1.0
TECUMSEH,2022-12-24T00:00,,,,7.8,33.0,1.0
MARYVILL,2022-12-24T00:00,,,,7.7,32.0,1.0
AIR LAB,2022-12-24T00:00,,,,6.0,25.0,1.0
BAY CITY,2022-12-24T00:00,,,,8.5,35.0,1.0
SPRINGHILL,2022-12-24T00:00,,,,6.4,27.0,1.0
Springfield Fire St1,2022-12-24T00:00,,,,6.7,28.0,1.0
MIDAIR,2022-12-24T00:00,,,,6.1,25.0,1.0
FLINT,2022-12-24T00:00,,,,6.9,29.0,1.0
YPSILANTI,2022-12-24T00:00,,,,7.1,30.0,1.0
Erie,2022-12-24T00:00,,,,7.4,31.0,1.0
Erie,2022-12-24T00:00,,,,6.1,25.0,1.0
BRYSON,2022-12-24T00:00,,,,7.1,30.0,1.0
ELIZA HOWELL-NR,2022-12-24T00:00,,,,9.1,38.0,1.0
HAZ2,2022-12-24T00:00,,,,5.5,23.0,1.0
ALLEN PARK,2022-12-24T00:00,,,,7.8,33.0,1.0
NMH48217,2022-12-24T00:00,,,,7.7,32.0,1.0
TRINITY,2022-12-24T00:00,,,,9.1,38.0,1.0
DETROIT-SW,2022-12-24T00:00,,,,9.7,40.0,1.0
MILITARY PARK,2022-12-24T00:00,,,,8.5,35.0,1.0
DP4TH,2022-12-24T00:00,,,,8.0,33.0,1.0
Smoky Row Near Road,2022-12-24T00:00,,,,7.7,32.0,1.0
Windsor Downtown,2022-12-24T00:00,,,,5.3,22.0,1.0
GRAYSON,2022-12-24T00:00,,,,5.4,23.0,1.0
New Albany,2022-12-24T00:00,,,,8.0,33.0,1.0
NEW HAVEN,2022-12-24T00:00,,,,4.7,20.0,1.0
ODOT Ironton,2022-12-24T00:00,,,,5.7,24.0,1.0
Crystal River Preserve,2022-12-24T00:00,,,,3.4,14.0,1.0
FIVCO,2022-12-24T00:00,,,,5.9,25.0,1.0
Lake City,2022-12-24T00:00,,,,4.3,18.0,1.0
BDED,2022-12-24T00:00,,,,0.0,0.0,1.0
PIKE2001,2022-12-24T00:00,,,,4.7,20.0,1.0
Kingsport,2022-12-24T00:00,,,,1.2,5.0,1.0
PORT HURON,2022-12-24T00:00,,,,4.2,18.0,1.0
Osceola National Forest,2022-12-24T00:00,,,,4.6,19.0,1.0
Sarnia,2022-12-24T00:00,,,,2.4,10.0,1.0
Paynes Prairie Farm,2022-12-24T00:00,,,,4.2,18.0,1.0
Chatham,2022-12-24T00:00,,,,6.3,26.0,1.0
Spruce Pine,2022-12-24T00:00,,,,2.2,9.0,1.0
TK Gregg,2022-12-24T00:00,,,,4.0,17.0,1.0
Chippewa,2022-12-24T00:00,,,,4.9,20.0,1.0
Trenton,2022-12-24T00:00,,,,3.5,15.0,1.0
Grand Bend,2022-12-24T00:00,,,,4.2,18.0,1.0
St Theodosius,2022-12-24T00:00,,,,8.7,36.0,1.0
CHARLESTON,2022-12-24T00:00,,,,4.1,17.0,1.0
Pepsi Place,2022-12-24T00:00,,,,3.5,15.0,1.0
Sheffield Elementary School,2022-12-24T00:00,,,,4.8,20.0,1.0
Tiverton,2022-12-24T00:00,,,,3.0,13.0,1.0
East HS,2022-12-24T00:00,,,,3.7,15.0,1.0
Mayo Clinic,2022-12-24T00:00,,,,5.9,25.0,1.0
Canton,2022-12-24T00:00,,,,6.1,25.0,1.0
HICKORY,2022-12-24T00:00,,,,0.9,4.0,1.0
Painesville,2022-12-24T00:00,,,,6.2,26.0,1.0
London,2022-12-24T00:00,,,,5.8,24.0,1.0
Port Stanley,2022-12-24T00:00,,,,6.2,26.0,1.0
Irmo,2022-12-24T00:00,,,,1.7,7.0,1.0
Parklane,2022-12-24T00:00,,,,3.3,14.0,1.0
Remount,2022-12-24T00:00,,,,3.8,16.0,1.0
Friendship Park,2022-12-24T00:00,,,,0.0,0.0,1.0
Laird Eng Bldg,2022-12-24T00:00,,,,6.8,28.0,1.0
MOUNDSVILLE,2022-12-24T00:00,,,,6.2,26.0,1.0
Youngstown State,2022-12-24T00:00,,,,6.8,28.0,1.0
Steubenville,2022-12-24T00:00,,,,7.4,31.0,1.0
Kitchener,2022-12-24T00:00,,,,4.7,20.0,1.0
Farrell,2022-12-24T00:00,,,,5.7,24.0,1.0
Florence,2022-12-24T00:00,,,,5.9,25.0,1.0
ROCKWELL,2022-12-24T00:00,,,,1.3,5.0,1.0
Clemmons Middle,2022-12-24T00:00,,,,3.8,16.0,1.0
Beaver Falls,2022-12-24T00:00,,,,6.7,28.0,1.0
Brantford,2022-12-24T00:00,,,,6.3,26.0,1.0
LWATTOWR,2022-12-24T00:00,,,,3.8,16.0,1.0
Chesterfield,2022-12-24T00:00,,,,1.7,7.0,1.0
Avalon,2022-12-24T00:00,,,,6.4,27.0,1.0
Parry Sound,2022-12-24T00:00,,,,0.0,0.0,1.0
Lawrenceville,2022-12-24T00:00,,,,6.4,27.0,1.0
North Charleston F.S.,2022-12-24T00:00,,,,3.8,16.0,1.0
Charleroi,2022-12-24T00:00,,,,7.1,30.0,1.0
Clairton,2022-12-24T00:00,,,,5.4,23.0,1.0
EAST VINTON ELEMENTARY SCHOOL,2022-12-24T00:00,,,,3.9,16.0,1.0
Liberty (SAHS),2022-12-24T00:00,,,,7.1,30.0,1.0
Parkway East (Near Road),2022-12-24T00:00,,,,6.0,25.0,1.0
Hamilton Downtown,2022-12-24T00:00,,,,1.9,8.0,1.0
North Braddock,2022-12-24T00:00,,,,6.0,25.0,1.0
Candor FRO,2022-12-24T00:00,,,,7.2,30.0,1.0
Williams Middle School,2022-12-24T00:00,,,,3.1,13.0,1.0
Barrie,2022-12-24T00:00,,,,3.7,15.0,1.0
Cape Romain,2022-12-24T00:00,,,,3.3,14.0,1.0
Kittanning,2022-12-24T00:00,,,,6.0,25.0,1.0
Toronto Downtown,2022-12-24T00:00,,,,2.7,11.0,1.0
St. Catharines,2022-12-24T00:00,,,,2.7,11.0,1.0
Dorset,2022-12-24T00:00,,,,2.8,12.0,1.0
Strongstown,2022-12-24T00:00,,,,5.8,24.0,1.0
Johnstown,2022-12-24T00:00,,,,5.2,22.0,1.0
Tonawanda II,2022-12-24T00:00,,,,9.2,38.0,1.0
Buffalo Near-road,2022-12-24T00:00,,,,6.4,27.0,1.0
Albemarle HS,2022-12-24T00:00,,,,3.9,16.0,1.0
JOHNSTON,2022-12-24T00:00,,,,4.0,17.0,1.0
Shenandoah NP,2022-12-24T00:00,,,,2.9,12.0,1.0
Altoona,2022-12-24T00:00,,,,5.8,24.0,1.0
Peterborough,2022-12-24T00:00,,,,3.7,15.0,1.0
State College,2022-12-24T00:00,,,,5.7,24.0,1.0
Hagerstown,2022-12-24T00:00,,,,5.0,21.0,1.0
Northampton,2022-12-24T00:00,,,,0.0,0.0,1.0
LEGGETT,2022-12-24T00:00,,,,0.0,0.0,1.0
Rochester Near-road,2022-12-24T00:00,,,,8.8,37.0,1.0
Richmond City Near Road,2022-12-24T00:00,,,,4.3,18.0,1.0
Belleville,2022-12-24T00:00,,,,3.6,15.0,1.0
PITTAGCT,2022-12-24T00:00,,,,0.1,0.0,1.0
Carlisle,2022-12-24T00:00,,,,4.9,20.0,1.0
Rockville,2022-12-24T00:00,,,,4.3,18.0,1.0
McMillan Reservoir,2022-12-24T00:00,,,,1.4,6.0,1.0
RIVER_Terrace,2022-12-24T00:00,,,,3.6,15.0,1.0
DCNearRoad,2022-12-24T00:00,,,,2.2,9.0,1.0
Harrisburg,2022-12-24T00:00,,,,5.3,22.0,1.0
Howard County Near Road,2022-12-24T00:00,,,,4.2,18.0,1.0
York,2022-12-24T00:00,,,,4.8,20.0,1.0
Padonia,2022-12-24T00:00,,,,7.3,30.0,1.0
Lake Montebello,2022-12-24T00:00,,,,4.4,18.0,1.0
Kingston,2022-12-24T00:00,,,,3.9,16.0,1.0
Edgewood,2022-12-24T00:00,,,,1.7,7.0,1.0
Lancaster,2022-12-24T00:00,,,,5.6,23.0,1.0
Horn Point,2022-12-24T00:00,,,,5.0,21.0,1.0
Lancaster DW,2022-12-24T00:00,,,,7.1,30.0,1.0
E Syracuse,2022-12-24T00:00,,,,4.8,20.0,1.0
Reading Airport,2022-12-24T00:00,,,,4.6,19.0,1.0
Fair Hill,2022-12-24T00:00,,,,3.9,16.0,1.0
Millington,2022-12-24T00:00,,,,8.2,34.0,1.0
New Garden,2022-12-24T00:00,,,,4.9,20.0,1.0
LUMS 2,2022-12-24T00:00,,,,4.9,20.0,1.0
Scranton,2022-12-24T00:00,,,,5.3,22.0,1.0
SEAFORD,2022-12-24T00:00,,,,4.9,20.0,1.0
Rte 9 Del. City,2022-12-24T00:00,,,,4.9,20.0,1.0
MLK,2022-12-24T00:00,,,,5.4,23.0,1.0
KILLENS,2022-12-24T00:00,,,,4.8,20.0,1.0
Dover,2022-12-24T00:00,,,,4.4,18.0,1.0
Allentown,2022-12-24T00:00,,,,5.2,22.0,1.0
Chester,2022-12-24T00:00,,,,17.0,61.0,2.0
Freemansburg,2022-12-24T00:00,,,,5.6,23.0,1.0
