datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-25T16:00,PM2.5,4.4,18,1,Kapolei
2022-12-25T16:00,PM10,10.0,9,1,Kapolei
2022-12-25T16:00,PM2.5,6.2,26,1,SAND ISLAND 2 - ANUENUE FISHERIES
2022-12-25T16:00,PM2.5,2.6,11,1,Honolulu
2022-12-25T16:00,PM10,8.0,7,1,Honolulu
2022-12-25T16:00,PM2.5,1.7,7,1,KAHULUI
2022-12-25T16:00,PM2.5,0.7,3,1,Kailua-Kona
2022-12-25T16:00,PM2.5,1.3,5,1,Kona
2022-12-25T16:00,PM2.5,1.2,5,1,Waikoloa-21
2022-12-25T16:00,PM2.5,1.5,6,1,Ocean View
2022-12-25T16:00,PM2.5,2.4,10,1,Naalehu
2022-12-25T16:00,PM2.5,3.2,13,1,Pahala
2022-12-25T16:00,PM2.5,8.7,36,1,Hilo
2022-12-25T16:00,PM2.5,6.3,26,1,Mountain View
2022-12-25T16:00,PM2.5,5.9,25,1,KS Hawaii
2022-12-25T16:00,PM10,3.0,3,1,Laurel
2022-12-25T16:00,PM10,4.0,4,1,Garden
2022-12-25T16:00,PM2.5,0.3,1,1,Garden
2022-12-25T16:00,PM10,10.0,9,1,Parkgate (Eagle River)
2022-12-25T16:00,PM2.5,9.8,41,1,Butte (Harrison Court)
2022-12-25T16:00,PM10,9.0,8,1,Butte (Harrison Court)
2022-12-25T16:00,PM2.5,9.0,38,1,NCore
2022-12-25T16:00,PM10,10.0,9,1,NCore
2022-12-25T16:00,PM2.5,4.4,18,1,A Street
2022-12-25T16:00,PM2.5,3.5,15,1,Hurst Road
2022-12-25T16:00,PM2.5,1.1,5,1,BLM-Kaktovik
2022-12-25T16:00,PM10,1.0,1,1,BLM-Kaktovik
2022-12-25T16:00,PM2.5,9.5,40,1,Floyd Dryden
2022-12-25T16:00,PM10,13.0,12,1,Floyd Dryden
2022-12-25T16:00,PM2.5,3.3,14,1,Kitimat Haul Road
2022-12-25T16:00,PM2.5,3.9,16,1,Kitimat Riverlodge
2022-12-25T16:00,PM10,2.0,2,1,Kitimat Riverlodge
2022-12-25T16:00,PM2.5,5.3,22,1,Kitimat Haisla Village
2022-12-25T16:00,PM2.5,4.7,20,1,KITIMAT WHITESAIL
2022-12-25T16:00,PM2.5,5.5,23,1,TERRACE SKEENA MIDDLE SCHOOL
2022-12-25T16:00,PM2.5,7.2,30,1,Smithers Muheim Memorial
2022-12-25T16:00,PM10,11.0,10,1,Smithers Muheim Memorial
2022-12-25T16:00,PM2.5,13.5,54,2,Burns Lake Fire Centre
2022-12-25T16:00,PM10,16.0,15,1,Burns Lake Fire Centre
2022-12-25T16:00,PM2.5,13.0,53,2,Courtenay Elementary School
2022-12-25T16:00,PM2.5,11.2,47,1,Port Alberni Elementary
2022-12-25T16:00,PM2.5,1.1,5,1,Cheeka Peak
2022-12-25T16:00,PM2.5,3.3,14,1,Neah Bay 2-Makah Tribe
2022-12-25T16:00,PM2.5,4.0,17,1,Powell River James T
2022-12-25T16:00,PM2.5,3.7,15,1,Coos Bay Marshfield HS
2022-12-25T16:00,PM2.5,7.6,32,1,Crescent City
2022-12-25T16:00,PM10,8.0,7,1,Jacobs
2022-12-25T16:00,PM2.5,4.2,18,1,Florence-Department of Forestry
2022-12-25T16:00,PM2.5,3.4,14,1,Nanaimo Labieux Road
2022-12-25T16:00,PM2.5,3.5,15,1,Toledo NE Hwy20 & NW A St
2022-12-25T16:00,PM2.5,2.5,10,1,Aberdeen-Division St
2022-12-25T16:00,PM2.5,1.9,8,1,Tillamook Jr High School
2022-12-25T16:00,PM10,8.0,7,1,Fort Bragg High School
2022-12-25T16:00,PM2.5,1.4,6,1,Raymond-4th St
2022-12-25T16:00,PM2.5,12.7,52,2,Duncan College Street
2022-12-25T16:00,PM2.5,15.5,58,2,MMCA82062
2022-12-25T16:00,PM2.5,7.1,30,1,Cave Junction Forest Service
2022-12-25T16:00,PM2.5,5.1,21,1,MMCA81046
2022-12-25T16:00,PM2.5,6.5,27,1,Colwood City Hall
2022-12-25T16:00,PM2.5,3.5,15,1,Langdale Elementary
2022-12-25T16:00,PM2.5,12.2,51,2,Port Angeles-E 5th St
2022-12-25T16:00,PM2.5,8.0,33,1,MMCA82001
2022-12-25T16:00,PM2.5,13.0,53,2,Roseburg Fire Dept
2022-12-25T16:00,PM2.5,1.4,6,1,Victoria Topaz
2022-12-25T16:00,PM2.5,13.4,54,2,Willits Blosser Lane
2022-12-25T16:00,PM2.5,12.0,50,1,Grants Pass - Parkside School
2022-12-25T16:00,PM2.5,5.2,22,1,Dallas LaCreole Middle School
2022-12-25T16:00,PM2.5,1.9,8,1,Corvallis EPA Office
2022-12-25T16:00,PM2.5,3.4,14,1,Horseshoe Bay
2022-12-25T16:00,PM2.5,0.0,0,1,Ukiah Library
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82067
2022-12-25T16:00,PM2.5,2.9,12,1,McMinnville High School
2022-12-25T16:00,PM2.5,3.5,15,1,Vancouver Airport
2022-12-25T16:00,PM10,6.0,6,1,Vancouver Airport
2022-12-25T16:00,PM2.5,2.3,10,1,SQUAMISH ELEMENTARY
2022-12-25T16:00,PM2.5,1.8,8,1,Eugene - Highway 99
2022-12-25T16:00,PM2.5,0.5,2,1,Eugene - Wilkes Dr.
2022-12-25T16:00,PM2.5,1.7,7,1,Richmond South
2022-12-25T16:00,PM2.5,5.4,23,1,Forest Grove Pacific University
2022-12-25T16:00,PM2.5,6.7,28,1,Shelton-W Franklin
2022-12-25T16:00,PM2.5,3.5,15,1,Albany - Calapooia School
2022-12-25T16:00,PM2.5,1.3,5,1,Eugene - Amazon Park
2022-12-25T16:00,PM2.5,4.7,20,1,Mahon Park
2022-12-25T16:00,PM2.5,3.1,13,1,Tsawwassen
2022-12-25T16:00,PM2.5,3.5,15,1,Cottage Grove City Shops
2022-12-25T16:00,PM2.5,4.7,20,1,Second Narrows
2022-12-25T16:00,PM2.5,0.9,4,1,Springfield City Hall
2022-12-25T16:00,PM10,7.0,6,1,Burnaby North
2022-12-25T16:00,PM2.5,7.7,32,1,Salem - State Hospital
2022-12-25T16:00,PM2.5,2.1,9,1,Burnaby South
2022-12-25T16:00,PM10,5.0,5,1,Burnaby South
2022-12-25T16:00,PM2.5,6.3,26,1,Salem Chemeketa Community College
2022-12-25T16:00,PM2.5,10.3,43,1,Hillsboro - Hare Field
2022-12-25T16:00,PM2.5,2.0,8,1,Kensington Park
2022-12-25T16:00,PM10,4.0,4,1,Kensington Park
2022-12-25T16:00,PM2.5,3.9,16,1,Chehalis-Market Blvd
2022-12-25T16:00,PM2.5,10.6,44,1,Longview-30th Ave
2022-12-25T16:00,PM2.5,2.5,10,1,Whistler Meadow Park
2022-12-25T16:00,PM2.5,6.0,25,1,Weaverville
2022-12-25T16:00,PM2.5,2.3,10,1,Turner - CJHS
2022-12-25T16:00,PM2.5,1.6,7,1,North Delta
2022-12-25T16:00,PM2.5,0.0,0,1,SISK1006
2022-12-25T16:00,PM2.5,15.6,58,2,Medford Welch & Jackson
2022-12-25T16:00,PM2.5,6.7,28,1,Woodburn Chemeketa Community College
2022-12-25T16:00,PM2.5,5.4,23,1,Lacey-College St
2022-12-25T16:00,PM2.5,13.5,54,2,Sebastopol
2022-12-25T16:00,PM2.5,7.6,32,1,Beaverton - Highland Park School
2022-12-25T16:00,PM2.5,9.2,38,1,Shady Cove - Shady Cove School
2022-12-25T16:00,PM2.5,7.3,30,1,Silverton
2022-12-25T16:00,PM2.5,4.9,20,1,Talent - Rapp Lane
2022-12-25T16:00,PM2.5,3.1,13,1,Port Townsend-San Juan
2022-12-25T16:00,PM2.5,7.7,32,1,Portland - Sauvie Island
2022-12-25T16:00,PM2.5,6.1,25,1,Portland Near Road
2022-12-25T16:00,PM2.5,1.3,5,1,PRG Plaza 400
2022-12-25T16:00,PM10,2.0,2,1,PRG Plaza 400
2022-12-25T16:00,PM2.5,10.2,43,1,Roosevelt High School
2022-12-25T16:00,PM2.5,10.9,45,1,Sweet Home - Fire Department
2022-12-25T16:00,PM2.5,0.1,0,1,Pitt Meadows
2022-12-25T16:00,PM2.5,3.9,16,1,Ashland Fire Dept
2022-12-25T16:00,PM2.5,3.2,13,1,Surrey East
2022-12-25T16:00,PM2.5,5.3,22,1,Portland Lincoln High School
2022-12-25T16:00,PM2.5,6.5,27,1,Portland Humboldt School
2022-12-25T16:00,PM2.5,2.3,10,1,Oak Harbor-SW 6th (US)
2022-12-25T16:00,PM2.5,7.4,31,1,Portland SE 12th and Salmon
2022-12-25T16:00,PM2.5,2.6,11,1,Bremerton-Spruce Ave
2022-12-25T16:00,PM2.5,2.8,12,1,Lyons
2022-12-25T16:00,PM2.5,0.7,3,1,Anacortes-202 Ave (SO-AQS)
2022-12-25T16:00,PM2.5,6.5,27,1,Portland - SE Lafayette
2022-12-25T16:00,PM2.5,7.3,30,1,Portland Lane Middle School
2022-12-25T16:00,PM2.5,3.1,13,1,Portland - Spangler Road
2022-12-25T16:00,PM2.5,5.6,23,1,Portland McDaniel High School
2022-12-25T16:00,PM2.5,6.0,25,1,Portland Cully Helensview School
2022-12-25T16:00,PM2.5,5.1,21,1,MMCA82015
2022-12-25T16:00,PM2.5,1.6,7,1,Langley
2022-12-25T16:00,PM10,4.0,4,1,Langley
2022-12-25T16:00,PM2.5,1.3,5,1,Anacortes-Bartholomew Rd (US)
2022-12-25T16:00,PM2.5,0.0,0,1,Custer-Loomis (SO-AQS)
2022-12-25T16:00,PM2.5,15.1,57,2,San Rafael
2022-12-25T16:00,PM2.5,13.0,53,2,Vancouver-Blairmont Dr (SO)
2022-12-25T16:00,PM2.5,1.9,8,1,Quesnel Johnston Avenue
2022-12-25T16:00,PM10,1.0,1,1,Quesnel Johnston Avenue
2022-12-25T16:00,PM2.5,10.3,43,1,Gresham Centennial HS
2022-12-25T16:00,PM2.5,12.5,52,2,Oakridge - Willamette Activity Center
2022-12-25T16:00,PM2.5,1.7,7,1,Mill City
2022-12-25T16:00,PM2.5,2.8,12,1,Tacoma-S 36th St
2022-12-25T16:00,PM2.5,2.3,10,1,Bellingham Pacific
2022-12-25T16:00,PM2.5,5.4,23,1,Tacoma-L St
2022-12-25T16:00,PM2.5,7.3,30,1,Yacolt-Yacolt Rd
2022-12-25T16:00,PM2.5,17.6,63,2,San Francisco
2022-12-25T16:00,PM2.5,4.3,18,1,Tacoma-Alexander Ave
2022-12-25T16:00,PM2.5,5.4,23,1,Redding
2022-12-25T16:00,PM2.5,24.3,77,2,San Pablo - Rumrill
2022-12-25T16:00,PM2.5,8.0,33,1,Seattle-Duwamish
2022-12-25T16:00,PM2.5,3.6,15,1,Mt Vernon-S 2nd St
2022-12-25T16:00,PM2.5,3.6,15,1,Estacada Clackamas River Elementary School
2022-12-25T16:00,PM2.5,14.1,55,2,Abbotsford Airport
2022-12-25T16:00,PM10,2.0,2,1,Abbotsford Airport
2022-12-25T16:00,PM2.5,8.1,34,1,Seattle-South Park
2022-12-25T16:00,PM2.5,3.4,14,1,Seattle-10th & Weller
2022-12-25T16:00,PM2.5,3.4,14,1,Abbotsford
2022-12-25T16:00,PM10,2.0,2,1,Abbotsford
2022-12-25T16:00,PM2.5,3.5,15,1,Seattle-Beacon Hill
2022-12-25T16:00,PM2.5,0.7,3,1,Tulalip-Totem Beach Rd
2022-12-25T16:00,PM2.5,22.2,72,2,Oakland West
2022-12-25T16:00,PM2.5,7.9,33,1,Tukwila_Allentown
2022-12-25T16:00,PM2.5,2.7,11,1,Lake Forest Park-Town Center
2022-12-25T16:00,PM2.5,22.8,74,2,Laney College
2022-12-25T16:00,PM2.5,5.3,22,1,Red Bluff - Walnut office
2022-12-25T16:00,PM2.5,7.3,30,1,Kent-James & Central
2022-12-25T16:00,PM2.5,4.4,18,1,Auburn 29th St
2022-12-25T16:00,PM2.5,6.2,26,1,Redwood City
2022-12-25T16:00,PM2.5,8.1,34,1,Willows-Colusa
2022-12-25T16:00,PM10,6.0,6,1,Willows-Colusa
2022-12-25T16:00,PM2.5,4.3,18,1,Marysville-7th Ave
2022-12-25T16:00,PM2.5,19.6,67,2,Oakland
2022-12-25T16:00,PM2.5,5.6,23,1,Williams Lake Columneetza School
2022-12-25T16:00,PM10,5.0,5,1,Williams Lake Columneetza School
2022-12-25T16:00,PM2.5,1.0,4,1,Bellevue-SE 12th
2022-12-25T16:00,PM2.5,32.0,93,2,Maple Falls-Azure Way
2022-12-25T16:00,PM2.5,13.6,54,2,SLV Middle School AMS
2022-12-25T16:00,PM2.5,14.3,56,2,Concord
2022-12-25T16:00,PM2.5,25.2,79,2,Colusa - Sunrise Blvd.
2022-12-25T16:00,PM10,24.0,22,1,Colusa - Sunrise Blvd.
2022-12-25T16:00,PM2.5,5.8,24,1,Santa Cruz AMS
2022-12-25T16:00,PM2.5,11.3,47,1,Vacaville
2022-12-25T16:00,PM2.5,1.2,5,1,Chilliwack
2022-12-25T16:00,PM10,3.0,3,1,Chilliwack
2022-12-25T16:00,PM2.5,0.8,3,1,Enumclaw Mud Mt (SO)
2022-12-25T16:00,PM2.5,3.6,15,1,Chiloquin
2022-12-25T16:00,PM2.5,13.2,53,2,Pleasanton - Owens Ct.
2022-12-25T16:00,PM2.5,42.3,118,3,San Jose - Jackson St.
2022-12-25T16:00,PM2.5,31.9,93,2,San Jose - Knox Ave
2022-12-25T16:00,PM2.5,21.5,71,2,Chico -  East
2022-12-25T16:00,PM10,28.0,26,1,Chico -  East
2022-12-25T16:00,PM2.5,12.6,52,2,Livermore - Rincon
2022-12-25T16:00,PM2.5,15.5,58,2,Davis - UCD Campus
2022-12-25T16:00,PM2.5,1.3,5,1,North Bend-North Bend Way (SO)
2022-12-25T16:00,PM2.5,3.2,13,1,Agassiz
2022-12-25T16:00,PM2.5,0.0,0,1,Carmel Valley AMS
2022-12-25T16:00,PM2.5,21.0,70,2,Woodland
2022-12-25T16:00,PM2.5,14.8,57,2,Klamath Falls - Peterson School
2022-12-25T16:00,PM2.5,18.0,63,2,Rio Vista
2022-12-25T16:00,PM2.5,21.8,71,2,Gridley
2022-12-25T16:00,PM2.5,4.7,20,1,Salinas AMS
2022-12-25T16:00,PM2.5,29.2,87,2,Yuba City
2022-12-25T16:00,PM10,34.0,31,1,Yuba City
2022-12-25T16:00,PM2.5,0.9,4,1,Paradise Theater
2022-12-25T16:00,PM2.5,10.6,44,1,Gilory - 9th Street
2022-12-25T16:00,PM2.5,2.1,9,1,Sisters Forest Service
2022-12-25T16:00,PM10,12.0,11,1,San Juan Bautista AMS
2022-12-25T16:00,PM2.5,16.4,60,2,Hood River West Side FD
2022-12-25T16:00,PM2.5,3.7,15,1,La Pine Rural Fire Dept
2022-12-25T16:00,PM2.5,16.6,60,2,Bercut Dr
2022-12-25T16:00,PM2.5,3.6,15,1,Hope
2022-12-25T16:00,PM10,4.0,4,1,Hope
2022-12-25T16:00,PM2.5,15.1,57,2,Downtown Sacramento - T Street
2022-12-25T16:00,PM10,14.0,13,1,Downtown Sacramento - T Street
2022-12-25T16:00,PM2.5,3.2,13,1,TracyAP
2022-12-25T16:00,PM10,8.0,7,1,TracyAP
2022-12-25T16:00,PM2.5,2.2,9,1,Sunriver Three Rivers School
2022-12-25T16:00,PM2.5,10.5,44,1,Elk Grove
2022-12-25T16:00,PM2.5,15.0,57,2,Arden Arcade - Del Paso Manor
2022-12-25T16:00,PM2.5,5.4,23,1,Hollister AMS
2022-12-25T16:00,PM10,6.0,6,1,Hollister AMS
2022-12-25T16:00,PM2.5,23.8,76,2,Lincoln
2022-12-25T16:00,PM2.5,1.7,7,1,Bend Pine Ridge Elementary School
2022-12-25T16:00,PM2.5,1.6,7,1,Bend - Pump Station
2022-12-25T16:00,PM2.5,2.4,10,1,Bend NE 8th & Emerson
2022-12-25T16:00,PM2.5,18.0,63,2,Stockton - University Park
2022-12-25T16:00,PM2.5,2.2,9,1,Bend Ponderosa Elementary School
2022-12-25T16:00,PM2.5,16.0,59,2,Roseville - N.Sunrise/Douglas
2022-12-25T16:00,PM10,19.0,18,1,Roseville - N.Sunrise/Douglas
2022-12-25T16:00,PM2.5,31.2,91,2,Chester BAM
2022-12-25T16:00,PM2.5,11.5,48,1,Manteca
2022-12-25T16:00,PM10,13.0,12,1,Manteca
2022-12-25T16:00,PM2.5,7.1,30,1,Sloughhouse
2022-12-25T16:00,PM2.5,11.2,47,1,The Dalles - Cherry Heights
2022-12-25T16:00,PM2.5,2.5,10,1,Redmond High School
2022-12-25T16:00,PM2.5,16.6,60,2,Folsom
2022-12-25T16:00,PM2.5,4.5,19,1,Madras - Westside School
2022-12-25T16:00,PM2.5,2.1,9,1,King City AMS
2022-12-25T16:00,PM10,2.0,2,1,King City AMS
2022-12-25T16:00,PM2.5,9.1,38,1,Auburn
2022-12-25T16:00,PM2.5,0.0,0,1,Grass Valley
2022-12-25T16:00,PM2.5,15.3,58,2,Modesto - 14th Street
2022-12-25T16:00,PM10,16.0,15,1,Modesto - 14th Street
2022-12-25T16:00,PM2.5,8.4,35,1,Cle Elum Mobile
2022-12-25T16:00,PM2.5,4.8,20,1,Colfax
2022-12-25T16:00,PM2.5,0.3,1,1,Quincy
2022-12-25T16:00,PM2.5,5.5,23,1,FORT ST JOHN LEARNING CENTRE
2022-12-25T16:00,PM10,8.0,7,1,FORT ST JOHN LEARNING CENTRE
2022-12-25T16:00,PM2.5,8.4,35,1,Prineville - Davidson Park
2022-12-25T16:00,PM2.5,9.9,41,1,Turlock - S. Minaret Street
2022-12-25T16:00,PM10,13.0,12,1,Turlock - S. Minaret Street
2022-12-25T16:00,PM2.5,12.4,52,2,San Andreas
2022-12-25T16:00,PM10,14.0,13,1,San Andreas
2022-12-25T16:00,PM2.5,8.4,35,1,Leavenworth-Evans St
2022-12-25T16:00,PM10,12.0,11,1,Paso Robles - Santa Fe Ave
2022-12-25T16:00,PM2.5,2.6,11,1,SLO Roberto
2022-12-25T16:00,PM10,6.0,6,1,SLO Roberto
2022-12-25T16:00,PM2.5,17.9,63,2,Peshastin Mobile
2022-12-25T16:00,PM2.5,4.4,18,1,Nipomo Mesa CDF
2022-12-25T16:00,PM10,7.0,6,1,Nipomo Mesa CDF
2022-12-25T16:00,PM2.5,4.2,18,1,Mesa 2 /Nipomo
2022-12-25T16:00,PM10,7.0,6,1,Mesa 2 /Nipomo
2022-12-25T16:00,PM2.5,17.9,63,2,Ellensburg-Ruby St
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82034
2022-12-25T16:00,PM2.5,19.2,66,2,Yakima-4th Ave
2022-12-25T16:00,PM10,21.0,19,1,Yakima-4th Ave
2022-12-25T16:00,PM10,3.0,3,1,Nipomo RP
2022-12-25T16:00,PM2.5,16.9,61,2,Merced-M St
2022-12-25T16:00,PM10,21.0,19,1,Merced-M St
2022-12-25T16:00,PM2.5,16.7,61,2,Cashmere Mobile
2022-12-25T16:00,PM2.5,18.9,65,2,Portola
2022-12-25T16:00,PM2.5,2.8,12,1,Lompoc H Street
2022-12-25T16:00,PM10,11.0,10,1,Lompoc H Street
2022-12-25T16:00,PM2.5,17.4,62,2,Merced - S. Coffee Ave
2022-12-25T16:00,PM2.5,7.2,30,1,Santa Maria
2022-12-25T16:00,PM10,8.0,7,1,Santa Maria
2022-12-25T16:00,PM2.5,7.1,30,1,Tranquillity
2022-12-25T16:00,PM2.5,15.5,58,2,Lakeview - Center & M
2022-12-25T16:00,PM2.5,9.0,38,1,Wenatchee-Fifth St
2022-12-25T16:00,PM2.5,4.8,20,1,Kamloops Federal Building
2022-12-25T16:00,PM2.5,11.5,48,1,Toppenish-Yakama Tribe
2022-12-25T16:00,PM2.5,14.8,57,2,Truckee BAM
2022-12-25T16:00,PM2.5,6.8,28,1,Tahoe City
2022-12-25T16:00,PM2.5,0.0,0,1,MMCA82019
2022-12-25T16:00,PM2.5,8.7,36,1,Twisp-Ewell St
2022-12-25T16:00,PM2.5,2.9,12,1,Huron
2022-12-25T16:00,PM2.5,1.4,6,1,Santa Ynez
2022-12-25T16:00,PM10,2.0,2,1,Las Flores Canyon
2022-12-25T16:00,PM2.5,17.0,61,2,Madera-City
2022-12-25T16:00,PM10,20.0,19,1,Madera-City
2022-12-25T16:00,PM2.5,3.7,15,1,Chelan-Woodin Ave
2022-12-25T16:00,PM2.5,17.8,63,2,Sunnyside-S 16th
2022-12-25T16:00,PM10,5.0,5,1,South Lake Tahoe - Sandy Way
2022-12-25T16:00,PM2.5,6.7,28,1,Quincy 3rd
2022-12-25T16:00,PM10,4.0,4,1,Goleta
2022-12-25T16:00,PM2.5,0.0,0,1,Goleta
2022-12-25T16:00,PM2.5,14.5,56,2,Reno4
2022-12-25T16:00,PM10,21.0,19,1,Reno4
2022-12-25T16:00,PM2.5,7.2,30,1,Brewster Mobile
2022-12-25T16:00,PM2.5,14.6,56,2,Fresno-Foundry Park
2022-12-25T16:00,PM2.5,14.1,55,2,Fresno - Garland
2022-12-25T16:00,PM10,14.0,13,1,Fresno - Garland
2022-12-25T16:00,PM2.5,14.0,55,2,CC_Armory
2022-12-25T16:00,PM10,15.0,14,1,Santa Rosa Rancheria
2022-12-25T16:00,PM2.5,8.1,34,1,Prosser-Highland Dr
2022-12-25T16:00,PM2.5,30.5,90,2,Sparks
2022-12-25T16:00,PM10,40.0,37,1,Sparks
2022-12-25T16:00,PM10,15.0,14,1,Fresno - Drummond Street
2022-12-25T16:00,PM2.5,7.8,33,1,Toll
2022-12-25T16:00,PM10,11.0,10,1,Toll
2022-12-25T16:00,PM2.5,10.9,45,1,Fresno-Pacific
2022-12-25T16:00,PM2.5,7.7,32,1,Ranchos
2022-12-25T16:00,PM2.5,15.8,59,2,Spanish Springs
2022-12-25T16:00,PM2.5,11.7,49,1,Clovis - N. Villa Ave
2022-12-25T16:00,PM10,13.0,12,1,Clovis - N. Villa Ave
2022-12-25T16:00,PM2.5,4.1,17,1,Santa Barbara
